Chain Id,Number of wallets,Average amount of wallets,Average amount of events,Mode amount,Percentage mode amount,Average number of wallets,Mode number of borrows,Percentage mode n borrows,number of borrows,Borrow amount,Percentage mode number borrows
ethereum,6183,977090.6070496015,280120.1476045665,10000,0.003306125492219126,3.488112566715187,1,0.03936524093681895,21567,6041351223.387686,0.4910237748665696
avalanche,8302,21034.149291044137,8933.164897393515,30,0.0006634390331611867,2.354613346181643,1,0.06888590201734515,19548,174625507.41424844,0.6814020717899302
optimism,4306,36326.4485214186,10235.681673421574,2000,0.012547907225952608,3.5490013934045517,1,0.056688256126873136,15282,156421687.3332285,0.6040408732001857
polygon,8560,169747.12881759656,18481.988103112817,0,1.2738865260276669e-06,9.18446261682243,1,0.00576632173708453,78619,1453035422.6786265,0.4760514018691589
arbitrum,41571,17220.91376540209,5931.89382393446,0,7.132626770675548e-06,2.9031055302975632,1,0.03571625071295178,120685,715890606.1415303,0.7122032185898823
fantom,105,11446.093227603098,5805.989318349398,10,0.00022421346023084905,1.9714285714285715,1,0.21565536304334118,207,1201839.7888983253,0.5333333333333333
bsc,12395,150185.70838625557,37545.66982206163,20,4.267182203501475e-05,4.000080677692618,1,0.019939069862397296,49581,1861551855.4476378,0.5389269866881807
