Chain Id,Number of wallets,Average amount of wallets,Average amount of events,Mode amount,Percentage mode amount,Average number of wallets,Mode number of liquidates,Percentage mode n liquidates,number of liquidates,liquidate amount,Percentage mode number liquidates
ethereum,557,47453.95545225064,24818.641490050333,200,0.0008210266385877064,1.9120287253141832,1,0.4275342298118971,1065,26431853.186903603,0.6768402154398564
avalanche,249,7673.099395032575,5234.525340720852,100,0.0026098016688015243,1.465863453815261,1,0.9020024191166295,365,1910601.749363111,0.7710843373493976
optimism,130,4120.7151828977885,2691.924491340264,0,4.781031116850876e-05,1.5307692307692307,1,0.6074572369120103,199,535692.9737767125,0.6846153846153846
polygon,945,3142.6887678589064,2131.974792266092,1,6.956209060260769e-05,1.474074074074074,1,0.2788788565458271,1393,2969840.8856266667,0.8042328042328042
arbitrum,360,3992.4484908712348,3064.5660057860223,0,1.7599486504032032e-05,1.3027777777777778,1,0.6739199639989809,469,1437281.4567136446,0.8388888888888889
fantom,280,1863.0582435767951,838.6757366583644,0,9.583625873732893e-05,2.2214285714285715,1,0.24452321944927918,622,521656.30820150266,0.6357142857142857
bsc,1023,63835.930153625006,38369.06965167943,20,8.788120805327629e-05,1.6637341153470186,1,0.04401013075105896,1702,65304156.54715838,0.7790811339198436
0xfa,280,1862.9567267010054,838.6300377432179,0,9.576474912159216e-05,2.2214285714285715,1,0.24448822311534743,622,521627.88347628154,0.6357142857142857
